District,Months,Visitors
Peddapalli,Nov-2021,1630
Peddapalli,Dec-2021,1840
RajanuaSircilla,Jan-2021,656423
RajanuaSircilla,Feb-2021,571526
RajanuaSircilla,Mar-2021,868764
RajanuaSircilla,Apr-2021,198252
RajanuaSircilla,May-2021,23978
RajanuaSircilla,Jun-2021,125913
RajanuaSircilla,Jul-2021,290935
RajanuaSircilla,Aug-2021,518772
RajanuaSircilla,Sep-2021,388599
RajanuaSircilla,Oct-2021,355757
RajanuaSircilla,Nov-2021,567535
RajanuaSircilla,Dec-2021,606628
Sangareddy,Jan-2021,112500
Sangareddy,Feb-2021,103200
Sangareddy,Mar-2021,274500
Sangareddy,Apr-2021,117300
Sangareddy,May-2021,15000
Sangareddy,Jun-2021,26500
Sangareddy,Jul-2021,33000
Sangareddy,Aug-2021,64900
Sangareddy,Sep-2021,47700
Sangareddy,Oct-2021,50000
Sangareddy,Nov-2021,56150
Sangareddy,Dec-2021,38750
Siddipet,Jan-2021,173749
Siddipet,Feb-2021,107247
Siddipet,Mar-2021,70337
Siddipet,Apr-2021,61534
Siddipet,May-2021,9000
Siddipet,Jun-2021,37700
Siddipet,Jul-2021,37000
Siddipet,Aug-2021,70000
Siddipet,Sep-2021,59000
Siddipet,Oct-2021,90000
Siddipet,Nov-2021,93500
Siddipet,Dec-2021,90350
Wanaparthy,Jan-2021,22482
Wanaparthy,Feb-2021,22524
Wanaparthy,Mar-2021,19672
Wanaparthy,Apr-2021,25212
Wanaparthy,May-2021,295
Wanaparthy,Jun-2021,600
Wanaparthy,Jul-2021,29300
Wanaparthy,Aug-2021,33300
Wanaparthy,Sep-2021,22800
Wanaparthy,Oct-2021,23700
Wanaparthy,Nov-2021,29330
Wanaparthy,Dec-2021,28100
Warangal,Jan-2021,7450
Warangal,Feb-2021,7470
Warangal,Mar-2021,7500
Warangal,Apr-2021,7510
Warangal,May-2021,560
Warangal,Jun-2021,550
Warangal,Jul-2021,3400
Warangal,Aug-2021,5610
Warangal,Sep-2021,5610
Warangal,Oct-2021,5820
Warangal,Nov-2021,6230
Warangal,Dec-2021,5690
Yadadri Bhongir,Jan-2021,281131
Yadadri Bhongir,Feb-2021,265238
Yadadri Bhongir,Mar-2021,261920
Yadadri Bhongir,Apr-2021,621
Yadadri Bhongir,May-2021,275
Yadadri Bhongir,Jun-2021,153020
Yadadri Bhongir,Jul-2021,312343
Yadadri Bhongir,Aug-2021,269850
Yadadri Bhongir,Sep-2021,169532
Yadadri Bhongir,Oct-2021,170613
Yadadri Bhongir,Nov-2021,242245
Yadadri Bhongir,Dec-2021,231306
